'frequency','sig_1.db','sig_1.deg','sig_2.db','sig_2.deg','sig_3.db','sig_3.deg','sig_4.db','sig_4.deg'
387.782841459,0,0,-0.608396359265,-21.1954380882,-0.608241664778,-21.4746442203,107.736156819,-34.6670164868
393.182875571,0,0,-0.624288350115,-21.4639023556,-0.624129317238,-21.7469966176,107.719528633,-35.1230780445
398.658107358,0,0,-0.64056563044,-21.7350988456,-0.640402137502,-22.0221353843,107.702494501,-35.5844841966
404.20958398,0,0,-0.657236047211,-22.009030814,-0.657067969131,-22.3000645303,107.685045999,-36.0512745773
409.838367176,0,0,-0.674307534595,-22.2857005542,-0.674134742781,-22.5807871138,107.667174595,-36.5234883651
415.545533472,0,0,-0.69178811131,-22.5651093662,-0.691610473566,-22.8643052098,107.648871657,-37.0011642585
421.332174385,0,-1.27222187259e-014,-0.709685877791,-22.8472575256,-0.709503258212,-23.1506198802,107.630128456,-37.4843404528
427.199396631,0,0,-0.728009013134,-23.1321442532,-0.727821272004,-23.439731143,107.610936165,-37.9730546163
433.148322338,0,-1.27222187259e-014,-0.746765771835,-23.4197676841,-0.74657276552,-23.7316379412,107.591285863,-38.4673438671
439.18008926,0,0,-0.765964480306,-23.7101248375,-0.765766061142,-24.0263381136,107.571168539,-38.9672447502
445.295850994,0,-1.27222187259e-014,-0.785613533171,-24.0032115861,-0.785409549355,-24.3238283636,107.550575094,-39.4727932144
451.496777204,0,0,-0.805721389345,-24.2990226265,-0.805511684816,-24.6241042304,107.529496347,-39.9840245909
457.784053838,0,0,-0.826296567874,-24.5975514497,-0.826080982192,-24.9271600589,107.507923033,-40.5009735705
464.158883361,0,0,-0.847347643551,-24.8987903114,-0.847126011779,-25.2329889712,107.485845814,-41.0236741832
470.622484984,0,0,-0.868883242307,-25.2027302045,-0.868655394883,-25.5415828381,107.463255277,-41.5521597772
477.176094894,0,0,-0.890912036362,-25.50936083,-0.890677798965,-25.8529322509,107.44014194,-42.0864629992
483.820966493,0,0,-0.913442739141,-25.8186705703,-0.913201932563,-26.1670264951,107.416496261,-42.6266157752
490.558370637,0,0,-0.936484099966,-26.1306464628,-0.936236539973,-26.4838535231,107.392308634,-43.1726492922
497.389595879,0,0,-0.960044898507,-26.4452741737,-0.959790395698,-26.8033999294,107.367569401,-43.7245939812
504.315948717,0,0,-0.984133939002,-26.7625379734,-0.983872298665,-27.1256509254,107.342268855,-44.2824795007
511.338753841,0,0,-1.00876004426,-27.0824207129,-1.00849106622,-27.4505903163,107.316397244,-44.846334722
518.459354389,0,0,-1.03393204939,-27.4049038011,-1.03365552786,-27.7782004784,107.289944778,-45.4161877147
525.679112202,0,0,-1.05965879542,-27.729967183,-1.05937451884,-28.1084623376,107.262901635,-45.9920657347
532.999408084,0,0,-1.0859491225,-28.0575893198,-1.08565687338,-28.4413553498,107.235257964,-46.5739952129
540.421642071,0,0,-1.11281186313,-28.38774717,-1.11251141787,-28.7768574819,107.207003896,-47.1620017452
547.94723369,0,6.36110936293e-015,-1.14025583496,-28.7204161717,-1.1399469637,-29.1149451948,107.178129546,-47.7561100849
555.57762224,0,-6.36110936293e-015,-1.16828983354,-29.0555702274,-1.16797229997,-29.4555934273,107.148625021,-48.3563441359
563.31426706,0,0,-1.19692262478,-29.3931816889,-1.19659618597,-29.7987755829,107.118480429,-48.9627269483
571.158647813,0,6.36110936293e-015,-1.2261629373,-29.7332213457,-1.22582734349,-30.1444635167,107.08768588,-49.5752807153
579.112264764,0,0,-1.25601945452,-30.0756584136,-1.25567444896,-30.4926275253,107.056231499,-50.1940267726
587.176639073,0,0,-1.28650080664,-30.4204605263,-1.28614612537,-30.8432363383,107.024107429,-50.8189855996
595.353313081,0,6.36110936293e-015,-1.31761556247,-30.7675937283,-1.31725093413,-31.1962571112,106.991303843,-51.4501768222
603.643850608,0,0,-1.34937222104,-31.1170224704,-1.34899736666,-31.5516554215,106.957810945,-52.0876192192
612.049837248,0,0,-1.38177920317,-31.468709607,-1.38139383596,-31.9093952658,106.923618983,-52.731330729
620.572880678,0,0,-1.41484484288,-31.8226163955,-1.414448668,-32.2694390597,106.888718252,-53.3813284604
629.214610961,0,0,-1.44857737866,-32.1787024983,-1.448170093,-32.63174764,106.853099105,-54.0376287049
637.976680861,0,0,-1.48298494473,-32.536925987,-1.48256623669,-32.996280269,106.816751961,-54.7002469518
646.860766155,0,0,-1.51807556216,-32.8972433489,-1.51764511139,-33.3629946413,106.77966731,-55.3691979059
